directory,site_disorder,mean_fidelity,std_fidelity
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps_site_evolution,0.3333333333333333,0.6795742634278858,0.15277799509553125
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps_site_evolution,0.38888888888888884,0.6009605341567076,0.17247059957132965
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps_site_evolution,0.4444444444444444,0.4785986396924845,0.20466983648863957
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_oaps_site_evolution,0.5,0.4083850061112058,0.23004577255591255
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.0,0.9163646053282849,1.1102230246251565e-16
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.05555555555555555,0.913903362846325,0.018029963497317197
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.1111111111111111,0.8921353382320654,0.03139647443696915
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.16666666666666666,0.8585952419944495,0.041614091720029146
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.2222222222222222,0.821807985792692,0.06107083402508269
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.2777777777777778,0.7708023212620694,0.08326794257168621
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.3333333333333333,0.7306371929564839,0.08662763449987149
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.38888888888888884,0.6671127773504609,0.11737408342720236
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.4444444444444444,0.6109370258329622,0.13382928475655834
../adapted_zhang_implementation/optimized_models/n16_25amp_25prob_zhang_site_evolution,0.5,0.5602480035971192,0.15788440892873118
(action-by-site),0.0,0.9909254776407825,0.0007479202089254006
(action-by-site),0.05555555555555555,0.9668424188029482,0.008642242515770818
(action-by-site),0.1111111111111111,0.9026925913607167,0.0266727067606326
(action-by-site),0.16666666666666666,0.7982049129364504,0.04731598744351241
(action-by-site),0.2222222222222222,0.6709498704481479,0.11962479993324167
(action-by-site),0.2777777777777778,0.5588458522992458,0.07743623431184622
(action-by-site),0.3333333333333333,0.4153574183867875,0.1163527814063353
(action-by-site),0.38888888888888884,0.30848102190738846,0.12810403007043766
(action-by-site),0.4444444444444444,0.1976144179792832,0.0969950786675827
(action-by-site),0.5,0.13565832057709162,0.0788778688884666
(Zhang actions),0.0,0.9380861636524997,0.002728662379500513
(Zhang actions),0.05555555555555555,0.9314004682207633,0.007710185289094118
(Zhang actions),0.1111111111111111,0.9110966445681313,0.017180153284696735
(Zhang actions),0.16666666666666666,0.8905025576957076,0.02075646073261841
(Zhang actions),0.2222222222222222,0.8643826130495391,0.030685377522333933
(Zhang actions),0.2777777777777778,0.821702286045322,0.056457565215773
(Zhang actions),0.3333333333333333,0.7862982146013483,0.06695825833128152
(Zhang actions),0.38888888888888884,0.7107524424361532,0.08030245289606694
(Zhang actions),0.4444444444444444,0.692962360145284,0.11114639081476449
(Zhang actions),0.5,0.6142656270016439,0.11319444396515328
